timestamp_monotonic,timestamp_utc,tag_id,center_x_px,center_y_px,area_px2,x_m,y_m,z_m,distance_m,reprojection_error_px,decision_margin,hamming,valid
18289.631504772,2026-08-05T10:36:24.710128+00:00,0,778.5615844726562,526.9292602539062,515390.57628336735,0.0834137197027933,0.016635896339087644,1.2991166164193186,1.3018980700263905,9.620183163556062e-06,73.47407531738281,0,True
18289.801566914,2026-08-05T10:36:24.880189+00:00,0,778.4922485351562,526.940673828125,515367.1190222071,0.083397251283538,0.016638900491391936,1.2991775337858664,1.3019578406481287,9.403417369049975e-06,73.21021270751953,0,True
18289.971011174,2026-08-05T10:36:25.049634+00:00,0,778.5186767578125,526.9540405273438,515388.35750710405,0.08339256470298759,0.016647873955413738,1.2989404327333942,1.301721060498214,9.294904194136573e-06,73.11092376708984,0,True
18290.146534121,2026-08-05T10:36:25.225159+00:00,0,778.54296875,526.9260864257812,515395.5766602317,0.0834313262964411,0.016622566631036548,1.2995349824961773,1.3023165001873878,1.0037424687779148e-05,73.63069915771484,0,True
18290.316148675,2026-08-05T10:36:25.394772+00:00,0,778.4976806640625,526.9287719726562,515345.0218590053,0.08341004251018176,0.016630809779515157,1.2993748849351583,1.3021554863478204,9.658247423009857e-06,73.62991333007812,0,True
18290.490176788,2026-08-05T10:36:25.568800+00:00,0,778.500732421875,526.9622802734375,515317.55457860115,0.083413908241855,0.016640012689775212,1.299403871206289,1.30218477591177,9.766112714365996e-06,73.14524841308594,0,True
18290.659559475,2026-08-05T10:36:25.738182+00:00,0,778.5224609375,526.9063110351562,515392.2023974487,0.0834214149424789,0.016622316122228756,1.2993467818627387,1.3021280633644787,1.0096780392781863e-05,73.63021087646484,0,True
18290.830935472,2026-08-05T10:36:25.909571+00:00,0,778.5404052734375,526.9444580078125,515344.07134498516,0.08341371159022014,0.01663980505217014,1.2992094004997754,1.3019907053202864,9.437179688782513e-06,73.63130950927734,0,True
18290.999753036,2026-08-05T10:36:26.078375+00:00,0,778.5175170898438,526.9744262695312,515321.17955062725,0.0834193360863026,0.016642637083683434,1.29940164156841,1.3021829322767433,9.943134772222665e-06,73.51089477539062,0,True
18291.169865381,2026-08-05T10:36:26.248488+00:00,0,778.50732421875,526.9423217773438,515415.7214231384,0.08340926948826992,0.01663363311158711,1.2992835427960923,1.302064325817977,9.543843223161216e-06,73.38111114501953,0,True
